NAD;HCOO;NADH;FDH;Puffer;FDH_0;NAD_0;HCOO_0;NADH_0;CO2_0;NAD_60;HCOO_60;NADH_60;CO2_60;initial_rate
µL;µL;µL;µL;µL;mg/mL;mM;mM;mM;mM;mM;mM;mM;mM;dA/min
600,00;0,00;0,00;50,00;350,00;0,0400;7196,1312;0,0000;0,0000;0;;;;;0,0005
600,00;5,00;0,00;50,00;345,00;0,0400;7196,1312;5,0000;0,0000;0;;;;;0,0067
600,00;10,00;0,00;50,00;340,00;0,0400;7196,1312;10,0000;0,0000;0;;;;;0,0142
600,00;20,00;0,00;50,00;330,00;0,0400;7196,1312;20,0000;0,0000;0;;;;;0,0368
600,00;100,00;0,00;50,00;250,00;0,0400;7196,1312;100,0000;0,0000;0;;;;;0,0546
600,00;200,00;0,00;50,00;150,00;0,0400;7196,1312;200,0000;0,0000;0;;;;;0,0641
0,00;200,00;0,00;50,00;750,00;0,0400;0,0000;200,0000;0,0000;0;;;;;0,0001
10,00;200,00;0,00;50,00;740,00;0,0400;119,9355;200,0000;0,0000;0;;;;;0,0210
20,00;200,00;0,00;50,00;730,00;0,0400;239,8710;200,0000;0,0000;0;;;;;0,0270
75,00;200,00;0,00;50,00;675,00;0,0400;899,5164;200,0000;0,0000;0;;;;;0,0482
200,00;200,00;0,00;50,00;550,00;0,0400;2398,7104;200,0000;0,0000;0;;;;;0,0555
600,00;200,00;0,00;50,00;150,00;0,0400;7196,1312;200,0000;0,0000;0;;;;;0,0593
0,00;200,00;10,00;50,00;740,00;0,0400;0,0000;200,0000;0,0014;0;;;;;0,0005
10,00;200,00;10,00;50,00;730,00;0,0400;119,9355;200,0000;0,0014;0;;;;;0,0101
20,00;200,00;10,00;50,00;720,00;0,0400;239,8710;200,0000;0,0014;0;;;;;0,0224
75,00;200,00;10,00;50,00;665,00;0,0400;899,5164;200,0000;0,0014;0;;;;;0,0428
200,00;200,00;10,00;50,00;540,00;0,0400;2398,7104;200,0000;0,0014;0;;;;;0,0552
600,00;200,00;10,00;50,00;140,00;0,0400;7196,1312;200,0000;0,0014;0;;;;;0,0588
0,00;200,00;20,00;50,00;730,00;0,0400;0,0000;200,0000;0,0028;0;;;;;0,0007
10,00;200,00;20,00;50,00;720,00;0,0400;119,9355;200,0000;0,0028;0;;;;;0,0100
20,00;200,00;20,00;50,00;710,00;0,0400;239,8710;200,0000;0,0028;0;;;;;0,0182
75,00;200,00;20,00;50,00;655,00;0,0400;899,5164;200,0000;0,0028;0;;;;;0,0360
200,00;200,00;20,00;50,00;530,00;0,0400;2398,7104;200,0000;0,0028;0;;;;;0,0483
600,00;200,00;20,00;50,00;130,00;0,0400;7196,1312;200,0000;0,0028;0;;;;;0,0520
0,00;200,00;50,00;50,00;700,00;0,0400;0,0000;200,0000;0,0070;0;;;;;0,0004
10,00;200,00;50,00;50,00;690,00;0,0400;119,9355;200,0000;0,0070;0;;;;;0,0070
20,00;200,00;50,00;50,00;680,00;0,0400;239,8710;200,0000;0,0070;0;;;;;0,0103
75,00;200,00;50,00;50,00;625,00;0,0400;899,5164;200,0000;0,0070;0;;;;;0,0234
200,00;200,00;50,00;50,00;500,00;0,0400;2398,7104;200,0000;0,0070;0;;;;;0,0368
600,00;200,00;50,00;50,00;100,00;0,0400;7196,1312;200,0000;0,0070;0;;;;;0,0453
0,00;200,00;100,00;50,00;650,00;0,0400;0,0000;200,0000;0,0140;0;;;;;0,0041
10,00;200,00;100,00;50,00;640,00;0,0400;119,9355;200,0000;0,0140;0;;;;;0,0043
20,00;200,00;100,00;50,00;630,00;0,0400;239,8710;200,0000;0,0140;0;;;;;0,0059
75,00;200,00;100,00;50,00;575,00;0,0400;899,5164;200,0000;0,0140;0;;;;;0,0141
200,00;200,00;100,00;50,00;450,00;0,0400;2398,7104;200,0000;0,0140;0;;;;;0,0251
600,00;200,00;100,00;50,00;50,00;0,0400;7196,1312;200,0000;0,0140;0;;;;;0,0393